input_smiles,family,canonical_smiles,state_A_smiles,state_B_smiles,pair_valid,valid,passes_common_filter,filter_reason,molecular_weight,sa_score,qed,rotatable_bonds,pred_uv_lambda_nm,pred_uv_uncertainty_nm,reward_phototoxic_probability,reward_phototoxic_uncertainty,reward_toxicity_similarity,reward_toxicity_pass,pred_half_life_h,pred_half_uncertainty_log10_h,pred_delta_lambda_nm,reward,method_id,eval_uv_lambda_nm,eval_uv_uncertainty_nm,phototoxic_probability,phototoxic_uncertainty,phototoxic_upper_confidence,toxicity_similarity,toxicity_in_domain,known_phototoxic_match,toxicity_pass,eval_half_life_h,eval_half_uncertainty_log10_h,photoswitch_space_pass,toxicity_space_pass,target_A_pass,target_B_pass,joint_success,selection_score,final_status,PSS_pred,quantum_yield_pred,deltaH_kJ_mol,stored_energy_MJ_kg,rank_within_family
CC1=CC=CC=C1/N/N=N/C=CC2=CC(N)=CC=C2,azo,Cc1ccccc1N/N=N/C=Cc1cccc(N)c1,Cc1ccccc1N/N=N/C=Cc1cccc(N)c1,Cc1ccccc1N/N=N\C=Cc1cccc(N)c1,True,True,True,ok,252.32100000000003,2.7136836288392026,0.48999539258853503,4.0,366.367017534649,61.47830791204376,0.5353887625793519,0.01209917505791944,0.1956521739130435,True,7.808055956090427,0.8625043555536271,62.32852961386442,0.29308206192462,unified_conditional_rl,360.09412634719735,59.77843619986306,0.4641757504934567,0.027360489455304653,0.5091837556474329,0.1956521739130435,True,False,True,11.050042731989345,0.6573862929949943,True,True,True,True,True,0.3931401008312783,PASS_AZO_AND_TOXICITY_SCREEN,,,,,1
CC=CC1=CC=CC=C1/N/N=N/C=CC2=CC(O)=CC=C2,azo,CC=Cc1ccccc1N/N=N/C=Cc1cccc(O)c1,CC=Cc1ccccc1N/N=N/C=Cc1cccc(O)c1,CC=Cc1ccccc1N/N=N\C=Cc1cccc(O)c1,True,True,True,ok,279.343,3.0080078070652094,0.605309416707497,5.0,369.3737426630335,61.47830791204376,0.4542266026301115,0.018046262150179897,0.1836734693877551,True,10.521845316645521,0.8625043555536271,54.22933451221161,0.29311976223933456,unified_conditional_rl,362.5563220519614,59.77843619986306,0.3605288375888269,0.028795547618198688,0.40789751342076375,0.1836734693877551,True,False,True,14.274755923984907,0.6573862929949943,True,True,True,True,True,0.39090150610921354,PASS_AZO_AND_TOXICITY_SCREEN,,,,,2
N1=CC(O)=CC=C1O/N=N/C=CC2=CC(Br)=CC=C2,azo,Oc1ccc(O/N=N/C=Cc2cccc(Br)c2)nc1,Oc1ccc(O/N=N/C=Cc2cccc(Br)c2)nc1,Oc1ccc(O/N=N\C=Cc2cccc(Br)c2)nc1,True,True,True,ok,320.146,3.1646402721958466,0.6845625751544449,4.0,365.1963999995716,61.47830791204376,0.4930527455923082,0.013597517357546676,0.1568627450980392,True,9.846133873503376,0.8625043555536271,49.95190701059818,0.29098410701372407,unified_conditional_rl,356.61935579387364,59.77843619986306,0.357772162374982,0.02400497901314988,0.39726035285161354,0.1568627450980392,True,False,True,14.123257584548233,0.6573862929949943,True,True,True,True,True,0.39081710534137304,PASS_AZO_AND_TOXICITY_SCREEN,,,,,3
C1=CC(O)=CC=C1/N=N/N=N\C2=CC=CC=C2C=NC3=CC=CC=C3,azo,Oc1ccc(/N=N/N=N\c2ccccc2C=Nc2ccccc2)cc1,Oc1ccc(/N=N/N=N\c2ccccc2C=Nc2ccccc2)cc1,Oc1ccc(/N=N\N=N/c2ccccc2C=Nc2ccccc2)cc1,True,True,True,ok,329.36300000000006,2.925366412891819,0.35129938832099955,5.0,377.8610790032872,61.47830791204376,0.5293216043673665,0.019673081234725588,0.2553191489361702,True,8.528292470440137,0.8625043555536271,52.63021040815687,0.282904432267346,unified_conditional_rl,359.21159201230495,59.77843619986306,0.43075670809196576,0.03807058427519938,0.49338281922466876,0.2553191489361702,True,False,True,17.68864556842274,0.6573862929949943,True,True,True,True,True,0.3896469122762727,PASS_AZO_AND_TOXICITY_SCREEN,,,,,4
CC1=CC=CC=C1/N/N=N/C,azo,C/N=N/Nc1ccccc1C,C/N=N/Nc1ccccc1C,C/N=N\Nc1ccccc1C,True,True,True,ok,149.19699999999997,2.4056261427488437,0.5084181384719112,2.0,359.21611447897544,61.47830791204376,0.4769514221631422,0.016886096497523952,0.18518518518518517,True,7.875750168048,0.8625043555536271,50.191792043587725,0.3011021142265745,unified_conditional_rl,356.82903181626733,59.77843619986306,0.506045840041161,0.0217454718165912,0.5418171411794536,0.18518518518518517,True,False,True,12.079490882344999,0.6573862929949943,True,True,True,True,True,0.38958830900691294,PASS_AZO_AND_TOXICITY_SCREEN,,,,,5
C1=CC=CC=C1/N=N/N=N/C=CC2=CC(Br)=CC=C2O,azo,Oc1ccc(Br)cc1C=C/N=N/N=N/c1ccccc1,Oc1ccc(Br)cc1C=C/N=N/N=N/c1ccccc1,Oc1ccc(Br)cc1C=C/N=N\N=N\c1ccccc1,True,True,True,ok,331.17300000000006,3.1273211004312262,0.6010431425237169,4.0,379.08125726726536,61.47830791204376,0.5206550040510649,0.015493409813883205,0.24489795918367346,True,7.862087777266624,0.8625043555536271,51.05931737921617,0.2793623525070433,unified_conditional_rl,366.76939491401225,59.77843619986306,0.45499799199716034,0.024440576888714927,0.4952027409790964,0.24489795918367346,True,False,True,12.614131899689038,0.6573862929949943,True,True,True,True,True,0.3882147225553631,PASS_AZO_AND_TOXICITY_SCREEN,,,,,6
C1=CC=CC=C1/N=N/N=N\C=CC2=CC(Br)=CC=C2O,azo,Oc1ccc(Br)cc1C=C/N=N\N=N\c1ccccc1,Oc1ccc(Br)cc1C=C/N=N/N=N/c1ccccc1,Oc1ccc(Br)cc1C=C/N=N\N=N\c1ccccc1,True,True,True,ok,331.17300000000006,3.1273211004312262,0.6010431425237169,4.0,379.08125726726536,61.47830791204376,0.5206550040510649,0.015493409813883205,0.24489795918367346,True,7.862087777266624,0.8625043555536271,51.05931737921617,0.2793623525070433,unified_conditional_rl,366.76939491401225,59.77843619986306,0.45499799199716034,0.024440576888714927,0.4952027409790964,0.24489795918367346,True,False,True,12.614131899689038,0.6573862929949943,True,True,True,True,True,0.3882147225553631,PASS_AZO_AND_TOXICITY_SCREEN,,,,,7
C1=CC=CC=C1/N=N/N=N/C=CC2=CC(Br)=CC=C2,azo,Brc1cccc(C=C/N=N/N=N/c2ccccc2)c1,Brc1cccc(C=C/N=N/N=N/c2ccccc2)c1,Brc1cccc(C=C/N=N\N=N\c2ccccc2)c1,True,True,True,ok,315.17400000000004,2.9807747677003427,0.522905428545579,4.0,380.5331766305806,61.47830791204376,0.5302685592092535,0.021824736928928168,0.25,True,8.93048417287515,0.8625043555536271,42.73855993715489,0.27674637495166576,unified_conditional_rl,366.95648799469313,59.77843619986306,0.4119480685607829,0.015739638814507788,0.43783977441064825,0.25,True,False,True,15.794320618593071,0.6573862929949943,True,True,True,True,True,0.3867978259036265,PASS_AZO_AND_TOXICITY_SCREEN,,,,,8
C1=CC=CC=C1/N=N/N=N\C=CC2=CC(Br)=CC=C2,azo,Brc1cccc(C=C/N=N\N=N\c2ccccc2)c1,Brc1cccc(C=C/N=N/N=N/c2ccccc2)c1,Brc1cccc(C=C/N=N\N=N\c2ccccc2)c1,True,True,True,ok,315.17400000000004,2.9807747677003427,0.522905428545579,4.0,380.5331766305806,61.47830791204376,0.5302685592092535,0.021824736928928168,0.25,True,8.93048417287515,0.8625043555536271,42.73855993715489,0.27674637495166576,unified_conditional_rl,366.95648799469313,59.77843619986306,0.4119480685607829,0.015739638814507788,0.43783977441064825,0.25,True,False,True,15.794320618593071,0.6573862929949943,True,True,True,True,True,0.3867978259036265,PASS_AZO_AND_TOXICITY_SCREEN,,,,,9
CC1=CC=CC=C1/N=C/N=N/C=CC2=CC=CC=C2C,azo,Cc1ccccc1C=C/N=N/C=N/c1ccccc1C,Cc1ccccc1C=C/N=N/C=N/c1ccccc1C,Cc1ccccc1C=C/N=N\C=N\c1ccccc1C,True,True,True,ok,263.344,3.026576007593029,0.4185593071491148,4.0,369.8448534457923,61.47830791204376,0.5386836235599688,0.008437433604048543,0.17073170731707318,True,8.524778534876742,0.8625043555536271,54.002718103064694,0.28622880016778735,unified_conditional_rl,355.65161003440556,59.77843619986306,0.5106056536273982,0.02661242656789,0.5543830953315773,0.17073170731707318,True,False,True,12.414051135385622,0.6573862929949943,True,True,True,True,True,0.3866550990811821,PASS_AZO_AND_TOXICITY_SCREEN,,,,,10
COC1=CC=CC=C1O/N=N/N=N/C=CC2=CC(O)=CC=C2,azo,COc1ccccc1O/N=N/N=N/C=Cc1cccc(O)c1,COc1ccccc1O/N=N/N=N/C=Cc1cccc(O)c1,COc1ccccc1O/N=N\N=N\C=Cc1cccc(O)c1,True,True,True,ok,298.302,3.188955568725218,0.6403706689078114,6.0,370.0447155496716,61.47830791204376,0.448874882280505,0.016547951360375582,0.22950819672131148,True,11.24407821284212,0.8625043555536271,58.38100852868848,0.2957372561480542,unified_conditional_rl,356.73927686309224,59.77843619986306,0.36768784680245725,0.03036958950474172,0.41764582153775737,0.22950819672131148,True,False,True,20.220901304553365,0.6573862929949943,True,True,True,True,True,0.3851457203281442,PASS_AZO_AND_TOXICITY_SCREEN,,,,,11
CC=NC1=CC=CC=C1/N/N=N/C=NC=CC2=CC(Br)=CC=C2,azo,CC=Nc1ccccc1N/N=N/C=NC=Cc1cccc(Br)c1,CC=Nc1ccccc1N/N=N/C=NC=Cc1cccc(Br)c1,CC=Nc1ccccc1N/N=N\C=NC=Cc1cccc(Br)c1,True,True,True,ok,370.254,3.531846546797026,0.3037236903967621,6.0,371.73877126521114,61.47830791204376,0.5008398811572967,0.018506796444650375,0.16666666666666666,True,7.587639370338125,0.8625043555536271,45.84243148904346,0.2788050593295307,unified_conditional_rl,357.91477258997475,59.77843619986306,0.4282806393481125,0.02490336917929935,0.46924668164805994,0.16666666666666666,True,False,True,11.547896505327193,0.6573862929949943,True,True,True,True,True,0.3849774462268227,PASS_AZO_AND_TOXICITY_SCREEN,,,,,12
CC1=CC(O)=CC=C1/N/N=N[NH1]/C2=CC=CC=C2O,azo,Cc1cc(O)ccc1NN=NNc1ccccc1O,Cc1cc(O)ccc1N/N=N/Nc1ccccc1O,Cc1cc(O)ccc1N/N=N\Nc1ccccc1O,True,True,True,ok,258.281,2.6336258666014416,0.2932333221436136,4.0,367.2853879678907,61.47830791204376,0.5540625617139712,0.016211644889470026,0.19607843137254902,True,5.82994695504933,0.8625043555536271,63.802414426689666,0.28761606752977,unified_conditional_rl,362.825197033585,59.77843619986306,0.5261509809959712,0.02979391444651288,0.5751619702604849,0.19607843137254902,True,False,True,8.450888464009335,0.6573862929949943,True,True,True,True,True,0.38438391247043074,PASS_AZO_AND_TOXICITY_SCREEN,,,,,13
