smiles,canonical_smiles,method_id,seed,rdkit_valid,passes_hard_filters,filter_reason,novelty,reward,reward_joint,reward_pred_A_log10_half_life_h,reward_uncertainty_A_log10_h,reward_conformal_q90_A_log10_h,reward_pred_B_lambda_max_nm,reward_uncertainty_B_nm,reward_conformal_q90_B_nm,evaluator_pred_A_log10_half_life_h,evaluator_pred_A_half_life_h,evaluator_uncertainty_A_log10_h,evaluator_conformal_q90_A_log10_h,evaluator_pred_B_lambda_max_nm,evaluator_uncertainty_B_nm,evaluator_conformal_q90_B_nm,sa_score,qed,molecular_weight,rotatable_bonds,psoralen_similarity,distance_to_D_A,distance_to_D_B,distance_to_D_A_train,distance_to_D_B_train,ad_A_pass,ad_B_pass,psoralen_alert,structural_alert,evaluator_mean_A_status,evaluator_mean_B_status,evaluator_mean_joint_status,evaluator_conservative_A_status,evaluator_conservative_B_status,evaluator_conservative_joint_status,joint_success,final_status
CCCCC=CSC(C)=CCc1ccc(O)cc1C,CCCCC=CSC(C)=CCc1ccc(O)cc1C,B0_prior_random,1701,True,True,ok,True,0.19446652113624546,0.19446652113624546,0.7413613302798959,0.8625043555536271,1.4188196648857168,401.92218997070387,61.47830791204376,101.13181651531198,0.9368495404695483,8.646683061136745,0.6573862929949943,1.0814004519767657,395.75058979663464,59.77843619986306,98.33552754877473,3.125502063988958,0.6555578614801599,276.445,7.0,0.109375,0.8412698412698413,0.728813559322034,0.8412698412698413,0.728813559322034,False,True,False,False,True,True,False,False,False,False,False,FAIL_AD_A
Cc1ccc2c(c3c(C#N)c4c(cc5cc(N(C)C)ccc5n1C=CC=CC(=O)OCC4)C(=O)NC(C)C3)C=C2,Cc1ccc2c(c3c(C#N)c4c(cc5cc(N(C)C)ccc5n1C=CC=CC(=O)OCC4)C(=O)NC(C)C3)C=C2,B0_prior_random,1701,True,True,ok,True,0.12857325485577495,0.12857325485577495,0.9561163265772574,0.8625043555536271,1.4188196648857168,434.8853300681817,61.47830791204376,101.13181651531198,1.145166134261725,13.969026275815015,0.6573862929949943,1.0814004519767657,445.6258000594518,59.77843619986306,98.33552754877473,5.612088506932274,0.42306607682457714,532.6440000000003,1.0,0.10638297872340426,0.9072164948453608,0.7558139534883721,0.9072164948453608,0.7558139534883721,False,True,False,False,True,False,False,False,False,False,False,FAIL_AD_A
Cc1cc(F)ccc1CC=CC=CC1=c2ccccc2=CNC1,Cc1cc(F)ccc1CC=CC=CC1=c2ccccc2=CNC1,B0_prior_random,1701,True,True,ok,True,0.17667406727582982,0.17667406727582982,0.8148624167554326,0.8625043555536271,1.4188196648857168,413.8278653441919,61.47830791204376,101.13181651531198,0.9862398750855927,9.68812815601355,0.6573862929949943,1.0814004519767657,404.7329537511746,59.77843619986306,98.33552754877473,3.277062849896911,0.8564517738316508,305.3960000000001,4.0,0.08450704225352113,0.8208955223880597,0.8055555555555556,0.8208955223880597,0.8095238095238095,False,False,False,False,True,False,False,False,False,False,False,FAIL_AD_A
C=CC=C1C=c2ccc(=CC=CF)cc21,C=CC=C1C=c2ccc(=CC=CF)cc21,B0_prior_random,1701,True,True,ok,True,0.1167969819033173,0.1167969819033173,1.0478034621161345,0.8625043555536271,1.4188196648857168,448.689201449771,61.47830791204376,101.13181651531198,1.4438850626740993,27.789777057168347,0.6573862929949943,1.0814004519767657,448.812265004225,59.77843619986306,98.33552754877473,4.278866213616081,0.6837615977594821,198.23999999999995,2.0,0.08771929824561403,0.8541666666666666,0.8085106382978724,0.8909090909090909,0.8085106382978724,False,False,False,False,False,False,False,False,False,False,False,FAIL_AD_A
CCC=CC=CC=CC=O,CCC=CC=CC=CC=O,B0_prior_random,1701,True,True,ok,True,0.16845373449911663,0.16845373449911663,0.8793092188192598,0.8625043555536271,1.4188196648857168,408.77516746060786,61.47830791204376,101.13181651531198,1.1851216354589253,15.315163425823476,0.6573862929949943,1.0814004519767657,398.530319306154,59.77843619986306,98.33552754877473,3.3426391468952943,0.32893355137230734,136.19399999999996,4.0,0.044444444444444446,0.9,0.6,0.9230769230769231,0.6,False,True,False,False,True,True,False,False,False,False,False,FAIL_AD_A
N#C/C(=C\C(N)=CI)C(=O)OSC=CC=C(Br)Cc1ccccc1,N#C/C(=C\C(N)=CI)C(=O)OSC=CC=C(Br)Cc1ccccc1,B0_prior_random,1701,True,True,ok,True,0.13571419797950002,0.13571419797950002,0.8115989237888019,0.8625043555536271,1.4188196648857168,435.4969215579809,61.47830791204376,101.13181651531198,1.1471211427674974,14.032050621442082,0.6573862929949943,1.0814004519767657,436.24490322762176,59.77843619986306,98.33552754877473,3.956206167939502,0.18329352583108277,517.1860000000001,7.0,0.08108108108108109,0.8513513513513513,0.7361111111111112,0.8602150537634409,0.7361111111111112,False,True,False,False,True,False,False,False,False,False,False,FAIL_AD_A
COC=CC1=CC(C#N)C=C1C=CC1=Cc2ccccc2C(O)c2cc(C)ccc21,COC=CC1=CC(C#N)C=C1C=CC1=Cc2ccccc2C(O)c2cc(C)ccc21,B0_prior_random,1701,True,True,ok,True,0.17028503814243406,0.17028503814243406,0.8346086026233763,0.8625043555536271,1.4188196648857168,413.2521533345774,61.47830791204376,101.13181651531198,0.9368899435820445,8.647487513355069,0.6573862929949943,1.0814004519767657,419.1773444754728,59.77843619986306,98.33552754877473,4.4077506895414444,0.6827458891256997,393.48600000000016,4.0,0.0958904109589041,0.8571428571428572,0.7115384615384616,0.8571428571428572,0.7115384615384616,False,True,False,False,True,False,False,False,False,False,False,FAIL_AD_A
C=C1N=C(C)C2(CCCNN=CC)CCCCC2=CN=CS1,C=C1N=C(C)C2(CCCNN=CC)CCCCC2=CN=CS1,B0_prior_random,1701,True,True,ok,True,0.14021967610657265,0.14021967610657265,0.9819842110592405,0.8625043555536271,1.4188196648857168,419.4622407834848,61.47830791204376,101.13181651531198,1.179948089104199,15.133803443999122,0.6573862929949943,1.0814004519767657,419.9162850641892,59.77843619986306,98.33552754877473,5.199032795728771,0.460315523259341,318.48999999999995,5.0,0.0641025641025641,0.8918918918918919,0.8214285714285714,0.9027777777777778,0.8214285714285714,False,False,False,False,True,False,False,False,False,False,False,FAIL_AD_A
Cc1[nH]nc2c1/N=N/c1cccnc1C=CC2,Cc1[nH]nc2c1/N=N/c1cccnc1C=CC2,B0_prior_random,1701,True,True,ok,True,0.17461456630489094,0.17461456630489094,0.5531360447714376,0.8625043555536271,1.4188196648857168,408.88409707675834,61.47830791204376,101.13181651531198,0.3354140607940694,2.1647814649115906,0.6573862929949943,1.0814004519767657,398.54421223898345,59.77843619986306,98.33552754877473,4.037136114298377,0.7481272020939713,225.25500000000002,0.0,0.078125,0.7758620689655172,0.7884615384615384,0.7758620689655172,0.7884615384615384,True,True,False,False,False,True,False,False,False,False,False,FAIL_A
CCCCNC=CC=C1C=Cc2cc(O)cc(c2N=Cc2ccccc2)C=C(c2ccccc2)C=CC=CC1,CCCCNC=CC=C1C=Cc2cc(O)cc(c2N=Cc2ccccc2)C=C(c2ccccc2)C=CC=CC1,B0_prior_random,1701,True,True,ok,True,0.11369220910660652,0.11369220910660652,0.9717225393497518,0.8625043555536271,1.4188196648857168,452.6009307665269,61.47830791204376,101.13181651531198,1.301517363038685,20.02245669518551,0.6573862929949943,1.0814004519767657,458.93065304318134,59.77843619986306,98.33552754877473,4.612531226369338,0.2335224405023925,512.6970000000001,8.0,0.0875,0.8470588235294118,0.7681159420289855,0.8690476190476191,0.7681159420289855,False,True,False,False,True,False,False,False,False,False,False,FAIL_AD_A
