canonical_smiles,state_A_smiles,state_B_smiles,method_id,seed,pair_valid,pred_E_lambda_nm,pred_Z_lambda_nm,pred_E_uncertainty_nm,pred_Z_uncertainty_nm,pred_delta_lambda_nm,pred_uv_lambda_nm,pred_uv_uncertainty_nm,pred_half_life_h,pred_half_life_uncertainty_log10_h,switch_proxy_score,reward,sa_score,qed,molecular_weight,rotatable_bonds,psoralen_similarity,deltaH_kJ_mol,stored_energy_MJ_kg,PSS_pred,quantum_yield_pred,energy_endpoint_available,PSS_available,quantum_yield_available,final_status
Brc1ccccc1/N=N/c1ccccc1/N=N/C1=CC=CNC1,Brc1ccccc1/N=N/c1ccccc1/N=N/C1=CC=CNC1,Brc1ccccc1/N=N\c1ccccc1/N=N/C1=CC=CNC1,photoswitch_pair_rl,1701,True,360.1781812167824,296.3153091638266,3.7729817000813126,1.0401090662392176,63.862872052955765,421.8843449811711,61.47830791204369,8.213415499346508,0.8625043555536274,0.9958597860551497,0.11091997635950092,3.400560361209127,0.6662986299541391,368.2380000000001,4.0,0.05555555555555555,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
CCC=C(C)c1ccccc1/N=N/c1cccnc1/N=N/c1ccccc1Br,CCC=C(C)c1ccccc1/N=N/c1cccnc1/N=N/c1ccccc1Br,CCC=C(C)c1ccccc1/N=N\c1cccnc1/N=N/c1ccccc1Br,photoswitch_pair_rl,1701,True,364.0290689020705,294.86490331737014,2.6005377127767804,0.4949815115549837,69.16416558470036,424.617468426095,61.47830791204369,5.894893669962862,0.8625043555536274,0.9978615231692978,0.10710222580188039,3.135058826713946,0.358864443362656,434.34100000000007,6.0,0.057971014492753624,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
CCOc1ccccc1/N=N/c1ccccc1/N=N/c1ccc(C)[nH]1,CCOc1ccccc1/N=N/c1ccccc1/N=N/c1ccc(C)[nH]1,CCOc1ccccc1/N=N\c1ccccc1/N=N/c1ccc(C)[nH]1,photoswitch_pair_rl,1701,True,360.6927256846466,292.7195298124041,0.45723693376139185,1.0816928369161198,67.97319587224246,412.9887117422657,61.47830791204369,6.527710388958739,0.8625043555536274,0.9975190989733497,0.12482723313739087,2.987685588126064,0.5099637519110207,333.39500000000004,6.0,0.08333333333333333,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
CN(C)c1ccccc1/N=N/c1cc2ccc1/N=N/c1c(F)cccc1OC2=O,CN(C)c1ccccc1/N=N/c1cc2ccc1/N=N/c1c(F)cccc1OC2=O,CN(C)c1ccccc1/N=N\c1cc2ccc1/N=N/c1c(F)cccc1OC2=O,photoswitch_pair_rl,1701,True,362.04060860079335,292.6909433022018,1.4980992262496757,0.6890277058649947,69.34966529859156,417.99203924948887,61.47830791204369,12.32958486033475,0.8625043555536274,0.9979104361361647,0.11081486260608146,4.331017255231294,0.3013906716626236,389.3900000000001,3.0,0.1111111111111111,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
CC=C1C=C(C)C=C1/N=N/C=CC=C/N=N/c1ccccc1,CC=C1C=C(C)C=C1/N=N/C=CC=C/N=N/c1ccccc1,CC=C1C=C(C)C=C1/N=N\C=CC=C/N=N/c1ccccc1,photoswitch_pair_rl,1701,True,348.69101922027494,297.8325051395172,2.647539676113863,0.8131263091775592,50.85851408075774,436.38061655258025,61.47830791204369,7.8398813194442605,0.8625043555536274,0.9793123605809158,0.09052772736082267,4.046988741802141,0.4686312638219053,290.37,5.0,0.1016949152542373,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
CCC(=O)c1ccccc1/N=N/C=CC=C(C)C,CCC(=O)c1ccccc1/N=N/C=CC=C(C)C,CCC(=O)c1ccccc1/N=N\C=CC=C(C)C,photoswitch_pair_rl,1701,True,356.1204521599936,293.21355482875197,2.740946376172203,1.285582677583599,62.90689733124162,431.1624266269261,61.47830791204369,5.832740302154921,0.8625043555536274,0.9953367206388519,0.09956224147797747,3.119708349068839,0.4134182175940497,242.32199999999997,5.0,0.08064516129032258,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
COC=CC=CC=C/N=N/c1ccccc1Cl,COC=CC=CC=C/N=N/c1ccccc1Cl,COC=CC=CC=C/N=N\c1ccccc1Cl,photoswitch_pair_rl,1701,True,350.3492009018574,295.49077026576674,2.502319538809523,0.22225116777189624,54.858430636090645,433.7984167758871,61.47830791204369,9.688961353745341,0.8625043555536274,0.98734920633954,0.09667035722407001,3.436572704289536,0.42408969337501057,248.713,5.0,0.125,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
Oc1ccccc1/N=N/c1cccc(Br)c1,Oc1ccccc1/N=N/c1cccc(Br)c1,Oc1ccccc1/N=N\c1cccc(Br)c1,photoswitch_pair_rl,1701,True,347.6108854817866,295.4497611836721,2.469780569300279,0.635865656097145,52.161124298114544,390.2012162111014,61.47830791204369,4.6363938764545365,0.8625043555536274,0.9823660943454687,0.15582319012774112,2.3066013181576963,0.8026790493261515,277.121,2.0,0.09259259259259259,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
C=C1Oc2ccccc2N=NC=C(C=CC=COC)C=CC=C1/N=N/c1ccccc1,C=C1Oc2ccccc2N=NC=C(C=CC=COC)C=CC=C1/N=N/c1ccccc1,C=C1Oc2ccccc2N=NC=C(C=CC=COC)C=CC=C1/N=N\c1ccccc1,photoswitch_pair_rl,1701,True,349.05329200062243,295.8191633023996,1.239857134071039,0.330896354475027,53.23412869822283,444.97722259998426,61.47830791204369,12.98753682271853,0.8625043555536274,0.984545289976622,0.08099653179846247,4.235503139695044,0.29080746870261065,410.4770000000001,5.0,0.08974358974358974,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
CCCCC=CNc1ccccc1/N=N/c1ccccc1/N=N/c1ccccc1Cl,CCCCC=CNc1ccccc1/N=N/c1ccccc1/N=N/c1ccccc1Cl,CCCCC=CNc1ccccc1/N=N\c1ccccc1/N=N/c1ccccc1Cl,photoswitch_pair_rl,1701,True,370.6353023687322,295.47489132027334,2.4465960576510857,0.7935078084715274,75.16041104845885,427.61349921294527,61.47830791204369,8.735166983169725,0.8625043555536274,0.9989882397602932,0.10503593127422696,2.916526130640289,0.27327329198055705,417.9440000000001,9.0,0.06153846153846154,,,,,False,False,False,PASS_PHOTOSWITCH_PROXY
